Date,Close
1/3/2022 16:00:00,67.42
1/4/2022 16:00:00,67.2
1/5/2022 16:00:00,66.29
1/6/2022 16:00:00,63.82
1/7/2022 16:00:00,64.04
1/10/2022 16:00:00,63.11
1/11/2022 16:00:00,65.85
1/12/2022 16:00:00,64.81
1/13/2022 16:00:00,64.17
1/14/2022 16:00:00,65.39
1/18/2022 16:00:00,82.31
1/19/2022 16:00:00,82.15
1/20/2022 16:00:00,81.76
1/21/2022 16:00:00,81.35
1/24/2022 16:00:00,79.97
1/25/2022 16:00:00,79.12
1/26/2022 16:00:00,78.78
1/27/2022 16:00:00,78.9
1/28/2022 16:00:00,79.14
1/31/2022 16:00:00,79.01
2/1/2022 16:00:00,79.06
2/2/2022 16:00:00,79.25
2/3/2022 16:00:00,78.95
2/4/2022 16:00:00,79.25
2/7/2022 16:00:00,79.5
2/8/2022 16:00:00,80.23
2/9/2022 16:00:00,81.5
2/10/2022 16:00:00,81.45
2/11/2022 16:00:00,81.5
2/14/2022 16:00:00,81.5
2/15/2022 16:00:00,81.52
2/16/2022 16:00:00,81.46
2/17/2022 16:00:00,80.97
2/18/2022 16:00:00,81.05
2/22/2022 16:00:00,81.23
2/23/2022 16:00:00,80.71
2/24/2022 16:00:00,81.01
2/25/2022 16:00:00,81.44
2/28/2022 16:00:00,81.5
3/1/2022 16:00:00,80.88
3/2/2022 16:00:00,81.48
3/3/2022 16:00:00,81.5
3/4/2022 16:00:00,81.43
3/7/2022 16:00:00,80.55
3/8/2022 16:00:00,81.03
3/9/2022 16:00:00,80.83
3/10/2022 16:00:00,80.8
3/11/2022 16:00:00,80.31
