Date,Close
1/3/2022 16:00:00,152.84
1/4/2022 16:00:00,148.91
1/5/2022 16:00:00,129.37
1/6/2022 16:00:00,131.03
1/7/2022 16:00:00,140.62
1/10/2022 16:00:00,131.15
1/11/2022 16:00:00,130.3
1/12/2022 16:00:00,128.06
1/13/2022 16:00:00,128.06
1/14/2022 16:00:00,116.65
1/18/2022 16:00:00,108.91
1/19/2022 16:00:00,106.57
1/20/2022 16:00:00,102.67
1/21/2022 16:00:00,106.36
1/24/2022 16:00:00,100.15
1/25/2022 16:00:00,99.79
1/26/2022 16:00:00,103.26
1/27/2022 16:00:00,93.52
1/28/2022 16:00:00,97.91
1/31/2022 16:00:00,108.93
2/1/2022 16:00:00,112.6
2/2/2022 16:00:00,100.04
2/3/2022 16:00:00,99.23
2/4/2022 16:00:00,102.34
2/7/2022 16:00:00,102.34
2/8/2022 16:00:00,115.6
2/9/2022 16:00:00,124.29
2/10/2022 16:00:00,122.47
2/11/2022 16:00:00,124.25
2/14/2022 16:00:00,117.09
2/15/2022 16:00:00,126.16
2/16/2022 16:00:00,128.33
2/17/2022 16:00:00,123.41
2/18/2022 16:00:00,121.53
2/22/2022 16:00:00,118.06
2/23/2022 16:00:00,114.87
2/24/2022 16:00:00,124.58
2/25/2022 16:00:00,118.58
2/28/2022 16:00:00,123.34
3/1/2022 16:00:00,119.02
3/2/2022 16:00:00,121.97
3/3/2022 16:00:00,118.41
3/4/2022 16:00:00,111.66
3/7/2022 16:00:00,99.35
3/8/2022 16:00:00,103.01
3/9/2022 16:00:00,105.21
3/10/2022 16:00:00,100.56
3/11/2022 16:00:00,92.69
