Date,Close
1/3/2022 16:00:00,301.21
1/4/2022 16:00:00,292.9
1/5/2022 16:00:00,276.04
1/6/2022 16:00:00,281.78
1/7/2022 16:00:00,272.47
1/10/2022 16:00:00,274
1/11/2022 16:00:00,278.17
1/12/2022 16:00:00,279.99
1/13/2022 16:00:00,265.75
1/14/2022 16:00:00,269.42
1/18/2022 16:00:00,259.03
1/19/2022 16:00:00,250.67
1/20/2022 16:00:00,241.5
1/21/2022 16:00:00,233.74
1/24/2022 16:00:00,233.72
1/25/2022 16:00:00,223.24
1/26/2022 16:00:00,227.72
1/27/2022 16:00:00,219.44
1/28/2022 16:00:00,228.4
1/31/2022 16:00:00,244.86
2/1/2022 16:00:00,246.38
2/2/2022 16:00:00,252.42
2/3/2022 16:00:00,239.48
2/4/2022 16:00:00,243.19
2/7/2022 16:00:00,247.28
2/8/2022 16:00:00,251.08
2/9/2022 16:00:00,267.05
2/10/2022 16:00:00,258.24
2/11/2022 16:00:00,239.49
2/14/2022 16:00:00,242.67
2/15/2022 16:00:00,264.95
2/16/2022 16:00:00,265.11
2/17/2022 16:00:00,245.07
2/18/2022 16:00:00,236.42
2/22/2022 16:00:00,233.9
2/23/2022 16:00:00,223.87
2/24/2022 16:00:00,237.48
2/25/2022 16:00:00,241.57
2/28/2022 16:00:00,243.85
3/1/2022 16:00:00,234.77
3/2/2022 16:00:00,242.2
3/3/2022 16:00:00,237.14
3/4/2022 16:00:00,229.36
3/7/2022 16:00:00,213.52
3/8/2022 16:00:00,215.14
3/9/2022 16:00:00,230.14
3/10/2022 16:00:00,226.58
3/11/2022 16:00:00,221
